# Simulation 24 (Up to date)
# 1059 data points written for 54 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s^2),Total velocity (ft/s),Total acceleration (ft/s^2),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (^2),Lateral velocity (ft/s),Lateral acceleration (ft/s^2),Latitude (^2),Longitude (^2),Gravitational acceleration (ft/s^2),Angle of attack (^2),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Propellant mass (oz),Longitudinal moment of inertia (lb^2ft^2),Rotational moment of inertia (lb^2ft^2),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (ft/s^2),Reference length (in),Reference area (in^2),Vertical orientation (zenith) (^2),Lateral orientation (azimuth) (^2),Wind velocity (ft/s),Air temperature (^2F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
24.161,10452,119.73,-32.502,122.74,32.502,638.54,0.41441,638.54,0.037184,27.018,0.12267,28.61,-80.598,32.094,0.0034951,0,-0.0086995,0.0013369,1519.4,0,645.95,4.7588,89.279,79.53,1.4716,0.11522,6542951,0,5.483,0.3873,0.3873,0.3029,4.9656e-4,0.083895,4.7277e-4,0.012504,-5.6061e-4,0,0,0,0,-0.011413,0.015826,6.625,34.472,75.039,0.067872,NaN,21.728,684.96,1075.6,0.05,0.061883
24.211,10457,118.11,-32.487,121.16,32.488,639.89,0.41636,639.89,0.037281,27.012,0.13569,28.61,-80.598,32.094,0.10368,0,0.0087978,4.6889e-5,1519.4,0,645.95,4.7588,89.154,79.53,1.4526,0.1138,6461257,0,5.3473,0.38726,0.38728,0.30291,4.843e-4,0.083866,0.014107,0.0087683,-9.6814e-5,0,0,0,0,0.011965,0.015624,6.625,34.472,74.88,0.067738,NaN,21.707,684.8,1075.6,0.05,0.061991
24.261,10463,116.49,-32.468,119.57,32.469,641.24,0.41832,641.24,0.037377,27.004,0.16935,28.61,-80.598,32.094,0.36254,0,0.0088215,1.0545e-5,1519.4,0,645.95,4.7588,88.837,79.53,1.4049,0.11247,6384296,0,5.2228,0.38723,0.38739,0.30292,4.7289e-4,0.083839,0.050073,0.058021,1.8306e-4,0,0,0,0,0.012318,0.015423,6.625,34.472,74.722,0.067596,NaN,21.686,684.64,1075.5,0.05,0.062099
24.311,10469,114.86,-32.454,117.99,32.454,642.59,0.42028,642.59,0.037474,26.995,0.1839,28.61,-80.598,32.094,0.49098,0,0.0088689,8.0856e-6,1519.4,0,645.95,4.7588,88.684,79.53,1.3817,0.11106,6303352,0,5.0931,0.3872,0.38749,0.30293,4.6102e-4,0.083811,0.068311,0.081978,3.7185e-4,0,0,0,0,0.012769,0.015222,6.625,34.472,74.563,0.067457,NaN,21.666,684.49,1075.5,0.05,0.062209
24.361,10475,113.24,-32.444,116.41,32.445,643.94,0.42225,643.94,0.03757,26.986,0.17845,28.61,-80.598,32.094,0.47858,0,0.0089194,1.1179e-5,1519.4,0,645.95,4.7588,88.697,79.53,1.3837,0.10958,6218009,0,4.9561,0.38717,0.38744,0.30294,4.4867e-4,0.083781,0.066537,0.078723,4.0386e-4,0,0,0,0,0.013268,0.015021,6.625,34.472,74.402,0.067325,NaN,21.645,684.34,1075.5,0.05,0.062316
24.411,10480,111.62,-32.431,114.83,32.432,645.29,0.42422,645.29,0.037667,26.977,0.18702,28.61,-80.598,32.094,0.57088,0,0.0089714,1.0336e-5,1519.4,0,645.95,4.7588,88.587,79.53,1.3672,0.10815,6135949,0,4.8277,0.38714,0.38753,0.30295,4.3695e-4,0.083754,0.079785,0.095359,-4.5535e-4,0,0,0,0,0.01378,0.01482,6.625,34.472,74.241,0.067203,NaN,21.625,684.19,1075.5,0.05,0.062424
24.461,10486,110,-32.414,113.25,32.415,646.64,0.42619,646.64,0.037763,26.967,0.21365,28.61,-80.598,32.094,0.80284,0,0.0090431,6.4605e-6,1519.4,0,645.95,4.7588,88.319,79.53,1.3266,0.1068,6058328,0,4.711,0.38711,0.38787,0.30296,4.2601e-4,0.083727,0.11368,0.13596,-4.0506e-4,0,0,0,0,0.014358,0.01462,6.625,34.472,74.079,0.067085,NaN,21.605,684.04,1075.5,0.05,0.062535
24.511,10491,108.38,-32.401,111.68,32.401,647.99,0.42817,647.99,0.037859,26.956,0.22489,28.61,-80.598,32.094,0.92535,0,0.0091292,5.9948e-6,1519.4,0,645.95,4.7588,88.179,79.53,1.3055,0.10538,5977291,0,4.5888,0.38709,0.38808,0.30297,4.1474e-4,0.083701,0.13193,0.1571,-2.9466e-4,0,0,0,0,0.015029,0.01442,6.625,34.472,73.916,0.066971,NaN,21.586,683.9,1075.4,0.05,0.062643
24.561,10497,106.76,-32.387,110.1,32.388,649.34,0.43015,649.34,0.037956,26.945,0.23819,28.61,-80.598,32.094,1.0686,0,0.0092273,5.5469e-6,1519.4,0,645.95,4.7588,88.018,79.53,1.2813,0.10398,5896949,0,4.4702,0.38706,0.38838,0.30298,4.037e-4,0.083674,0.15356,0.181,-3.1915e-4,0,0,0,0,0.01577,0.01422,6.625,34.472,73.751,0.066858,NaN,21.567,683.76,1075.4,0.05,0.062758
24.611,10502,105.14,-32.376,108.53,32.377,650.68,0.43214,650.68,0.038052,26.933,0.23953,28.61,-80.598,32.094,1.1244,0,0.0093302,6.4183e-6,1519.4,0,645.95,4.7588,87.956,79.53,1.2719,0.10253,5813825,0,4.3467,0.38703,0.38848,0.30299,3.9244e-4,0.083648,0.16208,0.1894,-9.6058e-5,0,0,0,0,0.016584,0.01402,6.625,34.472,73.584,0.066741,NaN,21.548,683.62,1075.4,0.05,0.062866
24.661,10507,103.52,-32.364,106.96,32.365,652.03,0.43413,652.03,0.038148,26.92,0.24894,28.61,-80.598,32.094,1.2468,0,0.009438,6.3044e-6,1519.4,0,645.95,4.7588,87.821,79.53,1.2516,0.10112,5732851,0,4.2301,0.387,0.38878,0.303,3.8162e-4,0.083622,0.18093,0.20944,2.5544e-4,0,0,0,0,0.017447,0.013821,6.625,34.472,73.415,0.066624,NaN,21.529,683.48,1075.4,0.05,0.062975
24.711,10512,101.9,-32.351,105.39,32.352,653.37,0.43613,653.37,0.038245,26.908,0.25794,28.61,-80.598,32.094,1.371,0,0.0095544,6.1077e-6,1519.4,0,645.95,4.7588,87.687,79.53,1.2312,0.09971,5651954,0,4.1155,0.38697,0.38912,0.30301,3.7096e-4,0.083596,0.2003,0.22857,-3.3822e-4,0,0,0,0,0.018391,0.013622,6.625,34.472,73.244,0.066517,NaN,21.511,683.34,1075.4,0.05,0.063081
24.761,10518,100.28,-32.342,103.83,32.343,654.72,0.43812,654.72,0.038341,26.895,0.25486,28.61,-80.598,32.094,1.4014,0,0.0096717,7.3378e-6,1519.4,0,645.95,4.7588,87.654,79.53,1.2262,0.098244,5568035,0,3.9953,0.38694,0.38918,0.30301,3.6006e-4,0.08357,0.20507,0.23203,1.4777e-4,0,0,0,0,0.019412,0.013423,6.625,34.472,73.071,0.06641,NaN,21.493,683.21,1075.3,0.05,0.063192
24.811,10522,98.667,-32.33,102.26,32.331,656.06,0.44013,656.06,0.038437,26.882,0.26348,28.61,-80.598,32.094,1.5314,0,0.0097915,7.1539e-6,1519.4,0,645.95,4.7588,87.515,79.53,1.2053,0.096834,5487331,0,3.8846,0.38692,0.38957,0.30302,3.4973e-4,0.083546,0.22567,0.25186,-4.7629e-4,0,0,0,0,0.020481,0.013225,6.625,34.472,72.896,0.066307,NaN,21.475,683.08,1075.3,0.05,0.063298
24.861,10527,97.051,-32.316,100.7,32.318,657.41,0.44213,657.41,0.038534,26.868,0.2789,28.61,-80.598,32.094,1.7244,0,0.0099196,6.4067e-6,1519.4,0,645.95,4.7588,87.314,79.53,1.175,0.09546,5408678,0,3.7808,0.38689,0.39023,0.30303,3.3981e-4,0.083522,0.25676,0.27979,8.5687e-5,0,0,0,0,0.021631,0.013026,6.625,34.472,72.718,0.066209,NaN,21.458,682.95,1075.3,0.05,0.063458
24.911,10532,95.436,-32.303,99.142,32.304,658.75,0.44414,658.75,0.03863,26.854,0.29375,28.61,-80.598,32.094,1.9194,0,0.010059,5.8689e-6,1519.4,0,645.95,4.7588,87.115,79.53,1.1449,0.094086,5330118,0,3.6791,0.38687,0.39097,0.30304,3.3004e-4,0.083499,0.28877,0.3074,-4.1916e-5,0,0,0,0,0.022897,0.012829,6.625,34.472,72.538,0.066119,NaN,21.441,682.82,1075.3,0.05,0.063573
24.961,10537,93.821,-32.294,97.584,32.295,660.09,0.44615,660.09,0.038726,26.839,0.29245,28.61,-80.598,32.094,1.9821,0,0.0102,6.482e-6,1519.4,0,645.95,4.7588,87.051,79.53,1.1353,0.092636,5247230,0,3.568,0.38684,0.39121,0.30305,3.1989e-4,0.083474,0.29917,0.31536,-4.2894e-5,0,0,0,0,0.024287,0.012631,6.625,34.472,72.356,0.066035,NaN,21.424,682.7,1075.3,0.05,0.063694
25.011,10542,92.207,-32.279,96.029,32.28,661.43,0.44817,661.43,0.038822,26.824,0.31279,28.61,-80.598,32.094,2.2387,0,0.010346,5.5236e-6,1519.4,0,645.95,4.7588,86.798,79.53,1.0971,0.091297,5170692,0,3.4749,0.38682,0.39232,0.30305,3.1065e-4,0.083452,0.34246,0.34956,1.0431e-4,0,0,0,0,0.025728,0.012434,6.625,34.472,72.171,0.065959,NaN,21.407,682.57,1075.2,0.05,0.063803
25.061,10546,90.593,-32.264,94.476,32.265,662.78,0.45019,662.78,0.038918,26.808,0.33502,28.61,-80.598,32.094,2.52,0,0.010506,4.5929e-6,1519.4,0,645.95,4.7588,86.528,79.53,1.0563,0.089973,5095020,0,3.386,0.38679,0.39369,0.30306,3.0165e-4,0.083431,0.39111,0.38568,1.6893e-4,0,0,0,0,0.027319,0.012238,6.625,34.472,71.984,0.065891,NaN,21.391,682.45,1075.2,0.05,0.064019
25.111,10551,88.98,-32.26,92.926,32.261,664.12,0.45221,664.12,0.039014,26.792,0.31418,28.61,-80.598,32.094,2.4247,0,0.010663,6.2595e-6,1519.4,0,645.95,4.7588,86.617,79.53,1.0698,0.088428,5006848,0,3.2658,0.38677,0.39318,0.30307,2.9132e-4,0.083406,0.37448,0.37188,-1.319e-4,0,0,0,0,0.029131,0.012041,6.625,34.472,71.793,0.065832,NaN,21.375,682.33,1075.2,0.05,0.064148
25.161,10555,87.367,-32.251,91.378,32.252,665.45,0.45424,665.45,0.03911,26.776,0.3143,28.61,-80.598,32.094,2.5187,0,0.010814,6.6108e-6,1519.4,0,645.95,4.7588,86.528,79.53,1.0563,0.086992,4924902,0,3.1637,0.38674,0.39363,0.30308,2.8189e-4,0.083384,0.39085,0.38231,-3.9639e-4,0,0,0,0,0.030964,0.011845,6.625,34.472,71.6,0.065785,NaN,21.359,682.22,1075.2,0.05,0.06426
25.211,10559,85.755,-32.244,89.833,32.245,666.79,0.45627,666.79,0.039206,26.761,0.30718,28.61,-80.598,32.094,2.5473,0,0.010964,7.6309e-6,1519.4,0,645.95,4.7588,86.5,79.53,1.0521,0.085516,4840769,0,3.0578,0.38672,0.39375,0.30308,2.7236e-4,0.083361,0.39586,0.38392,-1.356e-4,0,0,0,0,0.032933,0.01165,6.625,34.472,71.404,0.065743,NaN,21.344,682.1,1075.2,0.05,0.064371
25.261,10564,84.143,-32.238,88.291,32.24,668.13,0.45831,668.13,0.039302,26.746,0.29462,28.61,-80.598,32.094,2.5218,0,0.011106,9.0571e-6,1519.4,0,645.95,4.7588,86.523,79.53,1.0555,0.084009,4754833,0,2.9492,0.38669,0.39359,0.30309,2.6279e-4,0.083338,0.39138,0.3784,-3.266e-4,0,0,0,0,0.035019,0.011455,6.625,34.472,71.205,0.06571,NaN,21.328,681.99,1075.2,0.05,0.064486
25.311,10568,82.531,-32.229,86.752,32.23,669.47,0.46034,669.47,0.039398,26.731,0.29818,28.61,-80.598,32.094,2.6599,0,0.011245,9.1441e-6,1519.4,0,645.95,4.7588,86.393,79.53,1.0359,0.082593,4674142,0,2.8553,0.38667,0.3943,0.3031,2.5397e-4,0.083317,0.41573,0.39353,-2.9208e-4,0,0,0,0,0.037143,0.01126,6.625,34.472,71.004,0.065685,NaN,21.314,681.88,1075.1,0.05,0.064599
25.361,10572,80.92,-32.217,85.216,32.218,670.8,0.46238,670.8,0.039494,26.715,0.30871,28.61,-80.598,32.094,2.8772,0,0.011389,8.7478e-6,1519.4,0,645.95,4.7588,86.193,79.53,1.0057,0.081221,4595950,0,2.7692,0.38665,0.39549,0.30311,2.4556e-4,0.083297,0.45464,0.41741,-2.7775e-5,0,0,0,0,0.039398,0.011066,6.625,34.472,70.8,0.065666,NaN,21.299,681.77,1075.1,0.05,0.064707
25.411,10576,79.309,-32.213,83.683,32.214,672.14,0.46443,672.14,0.03959,26.701,0.29237,28.61,-80.598,32.094,2.8168,0,0.011527,1.0636e-5,1519.4,0,645.95,4.7588,86.247,79.53,1.0139,0.079688,4508671,0,2.6627,0.38662,0.39512,0.30311,2.3634e-4,0.083275,0.44374,0.40795,1.5137e-4,0,0,0,0,0.041931,0.010873,6.625,34.472,70.594,0.06565,NaN,21.285,681.66,1075.1,0.05,0.064903
25.461,10580,77.699,-32.201,82.154,32.203,673.47,0.46648,673.47,0.039685,26.686,0.30525,28.61,-80.598,32.094,3.0755,0,0.011664,9.7723e-6,1519.4,0,645.95,4.7588,86.013,79.53,0.97862,0.078335,4431593,0,2.5824,0.3866,0.39662,0.30312,2.2834e-4,0.083255,0.49078,0.43616,2.5208e-5,0,0,0,0,0.04443,0.01068,6.625,34.472,70.385,0.065642,NaN,21.271,681.56,1075.1,0.05,0.065017
25.511,10584,76.089,-32.188,80.628,32.189,674.81,0.46853,674.81,0.039781,26.67,0.32275,28.61,-80.598,32.094,3.3956,0,0.011807,8.8044e-6,1519.4,0,645.95,4.7588,85.733,79.53,0.93627,0.077015,4356438,0,2.5083,0.38658,0.39862,0.30313,2.2068e-4,0.083237,0.55049,0.46824,-4.2869e-4,0,0,0,0,0.047104,0.010487,6.625,34.472,70.174,0.06564,NaN,21.257,681.46,1075.1,0.05,0.065124
25.561,10587,74.48,-32.179,79.106,32.181,676.14,0.47058,676.14,0.039877,26.654,0.32352,28.61,-80.598,32.094,3.5413,0,0.011951,9.1842e-6,1519.4,0,645.95,4.7588,85.608,79.53,0.9174,0.075592,4275485,0,2.4219,0.38656,0.39956,0.30313,2.1257e-4,0.083218,0.57817,0.48075,-3.6409e-4,0,0,0,0,0.050088,0.010295,6.625,34.472,69.96,0.06564,NaN,21.244,681.36,1075.1,0.05,0.065234
25.611,10591,72.871,-32.165,77.587,32.167,677.47,0.47264,677.47,0.039972,26.637,0.34426,28.61,-80.598,32.094,3.9215,0,0.012097,8.0235e-6,1519.4,0,645.95,4.7588,85.291,79.53,0.86962,0.074302,4202076,0,2.3551,0.38654,0.40221,0.30314,2.0535e-4,0.0832,0.65204,0.51387,3.0168e-4,0,0,0,0,0.053123,0.010104,6.625,34.472,69.744,0.065645,NaN,21.23,681.26,1075,0.05,0.06535
25.661,10595,71.263,-32.156,76.073,32.158,678.8,0.4747,678.8,0.040068,26.62,0.34615,28.61,-80.598,32.094,4.1004,0,0.012244,8.2437e-6,1519.4,0,645.95,4.7588,85.146,79.53,0.84769,0.072893,4121922,0,2.2736,0.38652,0.40351,0.30315,1.976e-4,0.083182,0.68759,0.52625,3.3116e-4,0,0,0,0,0.056544,0.0099131,6.625,34.472,69.525,0.065656,NaN,21.218,681.17,1075,0.05,0.065463
25.711,10598,69.656,-32.145,74.563,32.147,680.14,0.47676,680.14,0.040163,26.602,0.35678,28.61,-80.598,32.094,4.3904,0,0.01239,7.8615e-6,1519.4,0,645.95,4.7588,84.916,79.53,0.81304,0.071545,4045260,0,2.2019,0.38651,0.40571,0.30315,1.9033e-4,0.083164,0.74626,0.5462,3.1498e-4,0,0,0,0,0.060109,0.0097231,6.625,34.472,69.303,0.065674,NaN,21.205,681.07,1075,0.05,0.065571
25.761,10602,68.049,-32.137,73.057,32.139,681.46,0.47883,681.46,0.040259,26.584,0.35931,28.61,-80.598,32.094,4.5975,0,0.012534,8.0344e-6,1519.4,0,645.95,4.7588,84.756,79.53,0.78886,0.070144,3965673,0,2.1248,0.38649,0.40734,0.30316,1.8293e-4,0.083146,0.78898,0.55826,4.0352e-4,0,0,0,0,0.063999,0.0095337,6.625,34.472,69.079,0.065698,NaN,21.193,680.98,1075,0.05,0.065676
25.811,10605,66.442,-32.125,71.556,32.127,682.79,0.4809,682.79,0.040354,26.566,0.37133,28.61,-80.598,32.094,4.9297,0,0.012677,7.674e-6,1519.4,0,645.95,4.7588,84.506,79.53,0.75114,0.068813,3.89e6,0,2.0583,0.38647,0.41006,0.30316,1.7603e-4,0.08313,0.85891,0.57669,-2.4888e-4,0,0,0,0,0.068029,0.009345,6.625,34.472,68.852,0.065725,NaN,21.181,680.89,1075,0.05,0.065784
25.861,10608,64.836,-32.115,70.061,32.117,684.12,0.48297,684.12,0.040449,26.547,0.38048,28.61,-80.598,32.094,5.2417,0,0.012819,7.4812e-6,1519.4,0,645.95,4.7588,84.279,79.53,0.71678,0.067465,3813481,0,1.991,0.38645,0.41272,0.30317,1.6918e-4,0.083113,0.92616,0.59177,5.1563e-5,0,0,0,0,0.07236,0.0091572,6.625,34.472,68.622,0.065755,NaN,21.169,680.8,1075,0.05,0.06589
25.911,10611,63.231,-32.099,68.57,32.101,685.45,0.48505,685.45,0.040545,26.528,0.406,28.61,-80.598,32.094,5.7678,0,0.012959,6.458e-6,1519.4,0,645.95,4.7588,83.91,79.53,0.66117,0.066241,3743910,0,1.941,0.38644,0.41742,0.30317,1.6307e-4,0.083099,1.043,0.61241,-2.0606e-4,0,0,0,0,0.076717,0.0089701,6.625,34.472,68.39,0.065788,NaN,21.158,680.72,1075,0.05,0.066004
25.961,10615,61.626,-32.087,67.085,32.089,686.77,0.48713,686.77,0.04064,26.507,0.41993,28.61,-80.598,32.094,6.1709,0,0.013098,6.1418e-6,1519.4,0,645.95,4.7588,83.64,79.53,0.62035,0.064939,3.67e6,0,1.8819,0.38642,0.42115,0.30318,1.5671e-4,0.083083,1.1354,0.62291,1.176e-4,0,0,0,0,0.081546,0.0087838,6.625,34.472,68.156,0.065823,NaN,21.147,680.64,1075,0.05,0.066124
26.011,10618,60.022,-32.081,65.606,32.084,688.1,0.48921,688.1,0.040735,26.486,0.41428,28.61,-80.598,32.094,6.349,0,0.013232,6.7202e-6,1519.4,0,645.95,4.7588,83.523,79.53,0.60274,0.063495,3588091,0,1.8061,0.3864,0.42283,0.30318,1.498e-4,0.083067,1.1771,0.62241,3.9528e-4,0,0,0,0,0.087046,0.0085985,6.625,34.472,67.919,0.065861,NaN,21.136,680.56,1074.9,0.05,0.066235
26.061,10621,58.418,-32.066,64.133,32.069,689.42,0.4913,689.42,0.04083,26.465,0.43637,28.61,-80.598,32.094,6.889,0,0.013361,5.9607e-6,1519.4,0,645.95,4.7588,83.182,79.53,0.55124,0.062264,3518192,0,1.758,0.38639,0.42806,0.30319,1.4403e-4,0.083053,1.3063,0.62779,-7.6815e-5,0,0,0,0,0.092298,0.0084141,6.625,34.472,67.679,0.065905,NaN,21.125,680.48,1074.9,0.05,0.066343
26.111,10624,56.815,-32.053,62.667,32.056,690.75,0.49338,690.75,0.040925,26.443,0.4536,28.61,-80.598,32.094,7.3883,0,0.013485,5.524e-6,1519.4,0,645.95,4.7588,82.881,79.53,0.50578,0.061002,3446607,0,1.7069,0.38637,0.43302,0.30319,1.3824e-4,0.083039,1.4299,0.62553,3.4691e-4,0,0,0,0,0.097954,0.0082308,6.625,34.472,67.438,0.065952,NaN,21.115,680.4,1074.9,0.05,0.06645
26.161,10626,55.213,-32.041,61.208,32.044,692.07,0.49547,692.07,0.04102,26.42,0.46597,28.61,-80.598,32.094,7.8474,0,0.013603,5.3691e-6,1519.4,0,645.95,4.7588,82.615,79.53,0.4657,0.059709,3373262,0,1.6526,0.38636,0.43765,0.3032,1.3242e-4,0.083025,1.5468,0.61645,-2.9772e-4,0,0,0,0,0.10404,0.0080485,6.625,34.472,67.194,0.066002,NaN,21.105,680.33,1074.9,0.05,0.06656
26.211,10629,53.611,-32.027,59.757,32.031,693.39,0.49757,693.39,0.041115,26.396,0.48305,28.61,-80.598,32.094,8.3883,0,0.013713,5.0239e-6,1519.4,0,645.95,4.7588,82.316,79.53,0.42049,0.058458,3302362,0,1.6038,0.38634,0.44315,0.3032,1.2692e-4,0.083012,1.6887,0.59999,1.9985e-4,0,0,0,0,0.11031,0.0078674,6.625,34.472,66.948,0.066052,NaN,21.095,680.26,1074.9,0.05,0.066669
26.261,10632,52.01,-32.02,58.314,32.024,694.71,0.49966,694.71,0.04121,26.372,0.48193,28.61,-80.598,32.094,8.7189,0,0.013816,5.3803e-6,1519.4,0,645.95,4.7588,82.139,79.53,0.39385,0.057068,3223575,0,1.5399,0.38633,0.44651,0.30321,1.2094e-4,0.082997,1.7777,0.58265,1.32e-4,0,0,0,0,0.1175,0.0076875,6.625,34.472,66.7,0.066105,NaN,21.086,680.19,1074.9,0.05,0.06678
26.311,10634,50.409,-32.021,56.88,32.024,696.02,0.50176,696.02,0.041304,26.348,0.45941,28.61,-80.598,32.094,8.7794,0,0.013912,6.6256e-6,1519.4,0,645.95,4.7588,82.107,79.53,0.38899,0.055501,3134786,0,1.4582,0.38631,0.44711,0.30321,1.1437e-4,0.082982,1.7941,0.57197,-4.6839e-4,0,0,0,0,0.12595,0.0075089,6.625,34.472,66.451,0.066161,NaN,21.077,680.12,1074.9,0.05,0.066888
26.361,10637,48.808,-32.009,55.455,32.013,697.34,0.50386,697.34,0.041399,26.325,0.47117,28.61,-80.598,32.094,9.3211,0,0.013999,6.5048e-6,1519.4,0,645.95,4.7588,81.83,79.53,0.34717,0.054219,3062157,0,1.4086,0.3863,0.45261,0.30322,1.0914e-4,0.082969,1.9439,0.5411,4.6111e-4,0,0,0,0,0.13365,0.0073318,6.625,34.472,66.2,0.066218,NaN,21.068,680.05,1074.9,0.05,0.067005
26.411,10639,47.208,-31.996,54.04,32,698.66,0.50597,698.66,0.041494,26.301,0.48818,28.61,-80.598,32.094,9.9635,0,0.014077,6.195e-6,1519.4,0,645.95,4.7588,81.517,79.53,0.29996,0.052988,2992452,0,1.3644,0.38628,0.45904,0.30322,1.0423e-4,0.082957,2.1272,0.49641,6.0931e-5,0,0,0,0,0.14149,0.0071562,6.625,34.472,65.947,0.066275,NaN,21.059,679.99,1074.9,0.05,0.067123
26.461,10641,45.608,-31.99,52.637,31.994,699.97,0.50807,699.97,0.041588,26.277,0.48324,28.61,-80.598,32.094,10.328,0,0.014145,6.7532e-6,1519.4,0,645.95,4.7588,81.347,79.53,0.27423,0.051572,2912255,0,1.3024,0.38627,0.46261,0.30323,9.8724e-5,0.082944,2.2339,0.46144,-2.6389e-4,0,0,0,0,0.15083,0.0069822,6.625,34.472,65.693,0.066334,NaN,21.051,679.93,1074.8,0.05,0.067236
26.511,10644,44.01,-31.968,51.244,31.972,701.28,0.51018,701.28,0.041683,26.252,0.52364,28.61,-80.598,32.094,11.362,0,0.014202,5.6397e-6,1519.4,0,645.95,4.7588,80.89,79.53,0.20533,0.050562,2855083,0,1.2782,0.38626,0.47235,0.30323,9.4892e-5,0.082935,2.5474,0.36457,1.1019e-4,0,0,0,0,0.15816,0.0068099,6.625,34.472,65.438,0.066392,NaN,21.043,679.87,1074.8,0.05,0.067344
26.561,10646,42.412,-31.951,49.865,31.956,702.6,0.5123,702.6,0.041777,26.225,0.54616,28.61,-80.598,32.094,12.178,0,0.014243,5.2712e-6,1519.4,0,645.95,4.7588,80.555,79.53,0.15474,0.049405,2789572,0,1.2385,0.38625,0.47944,0.30323,9.0591e-5,0.082924,2.806,0.26769,-3.7501e-4,0,0,0,0,0.16663,0.0066395,6.625,34.472,65.182,0.06645,NaN,21.035,679.81,1074.8,0.05,0.067456
26.611,10648,40.815,-31.933,48.498,31.938,703.91,0.51441,703.91,0.041871,26.197,0.57379,28.61,-80.598,32.094,13.099,0,0.014269,4.8245e-6,1519.4,0,645.95,4.7588,80.201,79.53,0.10134,0.048304,2727191,0,1.2052,0.38741,0.48808,0.30441,8.6589e-5,0.082915,3.1093,0.14051,-8.4493e-5,0,0,0,0,0.17495,0.006471,6.625,34.472,64.925,0.066506,NaN,21.028,679.76,1074.8,0.05,0.067565
26.661,10650,39.218,-31.91,47.147,31.916,705.22,0.51653,705.22,0.041965,26.167,0.60859,28.61,-80.598,32.094,14.154,0,0.014276,4.2137e-6,1519.4,0,645.95,4.7588,79.825,79.53,0.044566,0.047279,2669158,0,1.1743,0.38859,0.49646,0.3056,8.2947e-5,0.082906,3.4715,-0.028338,3.3861e-4,0,0,0,0,0.18281,0.0063046,6.625,34.472,64.668,0.066561,NaN,21.021,679.7,1074.8,0.05,0.067671
26.711,10652,37.624,-31.879,45.811,31.886,706.52,0.51864,706.52,0.04206,26.136,0.66293,28.61,-80.598,32.094,15.5,0,0.014259,3.2399e-6,1519.4,0,645.95,4.7588,79.386,79.53,-0.021711,0.046445,2621931,0,1.15,0.38957,0.50387,0.30659,8.0042e-5,0.082899,3.9559,-0.27475,2.845e-4,0,0,0,0,0.18899,0.0061405,6.625,34.472,64.411,0.066616,NaN,21.014,679.65,1074.8,0.05,0.067788
26.761,10654,36.03,-31.853,44.491,31.861,707.83,0.52076,707.83,0.042154,26.101,0.70203,28.61,-80.598,32.094,16.681,0,0.014215,2.7767e-6,1519.4,0,645.95,4.7588,79.034,79.53,-0.074847,0.045488,2567762,0,1.1117,0.39072,0.50782,0.30775,7.6772e-5,0.082891,4.4014,-0.52533,1.4987e-4,0,0,0,0,0.1958,0.0059787,6.625,34.472,64.155,0.066669,NaN,21.007,679.6,1074.8,0.05,0.067895
26.811,10655,34.438,-31.84,43.19,31.848,709.13,0.52289,709.13,0.042248,26.066,0.71148,28.61,-80.598,32.094,17.536,0,0.014149,2.9483e-6,1519.4,0,645.95,4.7588,78.797,79.53,-0.11065,0.044273,2499047,0,1.057,0.39223,0.50974,0.30928,7.272e-5,0.082881,4.7353,-0.72916,1.0166e-4,0,0,0,0,0.2048,0.0058195,6.625,34.472,63.9,0.06672,NaN,21.001,679.56,1074.8,0.05,0.068006
26.861,10657,32.846,-31.827,41.91,31.835,710.44,0.52501,710.44,0.042341,26.03,0.72236,28.61,-80.598,32.094,18.459,0,0.014066,3.1236e-6,1519.4,0,645.95,4.7588,78.556,79.53,-0.14701,0.04308,2431589,0,1.0026,0.39377,0.5107,0.31083,6.8849e-5,0.082872,5.1065,-0.96417,1.0324e-5,0,0,0,0,0.21377,0.0056633,6.625,34.472,63.646,0.06677,NaN,20.995,679.51,1074.8,0.05,0.068115
26.911,10659,31.256,-31.804,40.652,31.813,711.74,0.52714,711.74,0.042435,25.993,0.75238,28.61,-80.598,32.094,19.675,0,0.013959,2.9232e-6,1519.4,0,645.95,4.7588,78.261,79.53,-0.19151,0.042079,2374983,0,0.95464,0.3951,0.50969,0.31217,6.5683e-5,0.082864,5.6118,-1.2954,1.8144e-4,0,0,0,0,0.22067,0.0055101,6.625,34.472,63.393,0.066816,NaN,20.989,679.47,1074.8,0.05,0.068235
